advocacy	advocacy%1:04:00::
acetonemia	acetonemia%1:26:00::
orinoco	orinoco%1:17:00::
abscess	abscess%1:26:00::
well-wishing	well-wishing%1:10:00::
intima	intima%1:08:00::
clickety-click	clickety-click%1:11:00::
ruffian	ruffian%1:18:00::
while	while%1:28:00::
prisoner	prisoner%1:18:00::
wardroom	wardroom%1:06:00::
skyscraper	skyscraper%1:06:00::
incidence	incidence%1:24:00::
cyclist	cyclist%1:18:00::
adversary	adversary%1:18:00::
nirvana	nirvana%1:26:00::
advisor	advisor%1:18:00::
gagwriter	gagwriter%1:18:00::
rooting	rooting%1:22:00::
weaning	weaning%1:04:00::
diethylstilbestrol	diethylstilbestrol%1:27:00::
streamliner	streamliner%1:06:00::
ism	ism%1:09:00::
ginkgo	ginkgo%1:20:00::
patina	patina%1:06:00::
alveolus	alveolus%1:08:00::
pathogenesis	pathogenesis%1:22:00::
ivy	ivy%1:20:00::
graduation	graduation%1:04:01::
cosigner	cosigner%1:18:00::
sarcasm	sarcasm%1:10:00::
bridle	bridle%1:06:00::
swahili	swahili%1:10:00::
gland	gland%1:08:00::
michigan	michigan%1:15:00::
disobedience	disobedience%1:04:00::
tilth	tilth%1:26:00::
baggage	baggage%1:06:00::
spasm	spasm%1:26:00::
grasshopper	grasshopper%1:05:00::
columnist	columnist%1:18:00::
churchyard	churchyard%1:15:00::
aptitude	aptitude%1:09:00::
ion	ion%1:17:00::
vase	vase%1:06:00::
sequestration	sequestration%1:04:00::
distinctness	distinctness%1:07:00::
serviette	serviette%1:06:00::
hypertrophy	hypertrophy%1:26:00::
garment	garment%1:06:00::
bridegroom	bridegroom%1:18:00::
pectoralis	pectoralis%1:08:00::
additive	additive%1:06:00::
downfall	downfall%1:11:01::
walnut	walnut%1:13:00::
imperialism	imperialism%1:10:00::
brothel	brothel%1:06:00::
herpetologist	herpetologist%1:18:00::
stalin	stalin%1:18:00::
outset	outset%1:28:00::
infield	infield%1:06:00::
rooftree	rooftree%1:06:00::
hallway	hallway%1:06:00::
complexity	complexity%1:07:00::
spectrophotometer	spectrophotometer%1:06:00::
automation	automation%1:04:00::
hallmark	hallmark%1:07:00::
zest	zest%1:12:00::
fixing	fixing%1:04:00::
sideboard	sideboard%1:06:02::
deacon	deacon%1:18:01::
chandelier	chandelier%1:06:00::
bicycle	bicycle%1:06:00::
surf	surf%1:11:00::
oneness	oneness%1:07:00::
undoing	undoing%1:04:00::
theologian	theologian%1:18:00::
batch	batch%1:14:01::
confidentiality	confidentiality%1:26:00::
nonfiction	nonfiction%1:10:00::
madness	madness%1:26:00::
fielding	fielding%1:04:00::
pyrometer	pyrometer%1:06:00::
commutator	commutator%1:06:00::
recruitment	recruitment%1:04:00::
making	making%1:04:00::
judiciary	judiciary%1:14:00::
suffrage	suffrage%1:07:00::
rumen	rumen%1:05:00::
century	century%1:28:00::
complexion	complexion%1:07:00::
morphology	morphology%1:09:00::
oyabun	oyabun%1:18:00::
foolishness	foolishness%1:07:00::
tailback	tailback%1:18:00::
pillar	pillar%1:09:00::
jeopardy	jeopardy%1:26:00::
giddiness	giddiness%1:07:00::
briefing	briefing%1:10:00::
sheepman	sheepman%1:18:00::
salon	salon%1:06:01::
brazenness	brazenness%1:07:00::
stance	stance%1:07:00::
pussy	pussy%1:08:00::
kit	kit%1:06:01::
workboard	workboard%1:06:00::
vending	vending%1:04:00::
pillow	pillow%1:06:00::
blaring	blaring%1:11:00::
stein	stein%1:06:00::
midday	midday%1:28:00::
hungary	hungary%1:15:00::
integer	integer%1:23:00::
foreigner	foreigner%1:18:00::
redefinition	redefinition%1:10:00::
boat	boat%1:06:00::
merrymaking	merrymaking%1:04:00::
shipbuilding	shipbuilding%1:04:00::
dissatisfaction	dissatisfaction%1:12:00::
hookup	hookup%1:06:01::
stands	stands%1:06:00::
nothing	nothing%1:23:00::
bazaar	bazaar%1:06:00::
indignity	indignity%1:04:00::
petitioner	petitioner%1:18:00::
mantel	mantel%1:06:00::
patroller	patroller%1:18:00::
hudson	hudson%1:17:00::
cleveland	cleveland%1:15:00::
wallpaper	wallpaper%1:27:00::
cardroom	cardroom%1:06:00::
script	script%1:10:00::
scourge	scourge%1:06:00::
deity	deity%1:18:00::
cove	cove%1:17:00::
chrysanthemum	chrysanthemum%1:20:01::
lyricist	lyricist%1:18:00::
hairdo	hairdo%1:08:00::
firearm	firearm%1:06:00::
bogy	bogy%1:06:00::
traveller	traveller%1:18:00::
artist	artist%1:18:00::
counseling	counseling%1:10:00::
steppe	steppe%1:17:00::
cows	cows%1:05:00::
equanimity	equanimity%1:07:00::
tidbit	tidbit%1:13:00::
throne	throne%1:06:00::
chlorpromazine	chlorpromazine%1:06:00::
laying	laying%1:22:00::
potentiometer	potentiometer%1:06:01::
shackle	shackle%1:06:00::
halter	halter%1:06:01::
premises	premises%1:15:00::
pigeon	pigeon%1:05:00::
exercising	exercising%1:04:00::
disarray	disarray%1:09:00::
emotion	emotion%1:12:00::
funds	funds%1:21:00::
verbena	verbena%1:20:00::
vulnerability	vulnerability%1:26:00::
follower	follower%1:18:00::
mantle	mantle%1:10:00::
neutralism	neutralism%1:10:00::
showdown	showdown%1:10:00::
hawaiian	hawaiian%1:10:00::
corkscrew	corkscrew%1:06:00::
procurer	procurer%1:18:00::
guessing	guessing%1:09:00::
neutralist	neutralist%1:18:00::
daybed	daybed%1:06:01::
equity	equity%1:21:01::
proteolysis	proteolysis%1:22:00::
chignon	chignon%1:08:00::
suds	suds%1:17:00::
neutrality	neutrality%1:04:00::
shakespeare	shakespeare%1:18:00::
november	november%1:28:00::
offering	offering%1:10:00::
coexistence	coexistence%1:26:00::
textile	textile%1:06:00::
encyclopedia	encyclopedia%1:10:00::
edema	edema%1:26:00::
controller	controller%1:18:00::
wads	wads%1:23:00::
erosion	erosion%1:22:00::
investor	investor%1:18:00::
iran	iran%1:15:00::
fantods	fantods%1:26:00::
asterisk	asterisk%1:10:00::
iraq	iraq%1:15:00::
demonstrator	demonstrator%1:18:02::
breeches	breeches%1:06:00::
millwheel	millwheel%1:06:00::
dancer	dancer%1:18:00::
organizer	organizer%1:18:00::
builder	builder%1:27:00::
turf	turf%1:17:00::
recuperation	recuperation%1:22:00::
questioner	questioner%1:18:00::
diagnosing	diagnosing%1:04:00::
figuring	figuring%1:09:00::
calumny	calumny%1:10:00::
importation	importation%1:04:00::
wisenheimer	wisenheimer%1:18:00::
half-hour	half-hour%1:28:00::
figurine	figurine%1:06:00::
hormone	hormone%1:08:00::
salad	salad%1:13:00::
mausoleum	mausoleum%1:06:00::
iodotyrosine	iodotyrosine%1:27:00::
misogynist	misogynist%1:18:00::
smokehouse	smokehouse%1:06:00::
jug	jug%1:06:00::
timing	timing%1:07:00::
drapery	drapery%1:06:00::
schoolhouse	schoolhouse%1:06:00::
solipsism	solipsism%1:09:00::
habitat	habitat%1:15:00::
full-of-the-moon	full-of-the-moon%1:28:00::
pageant	pageant%1:04:00::
pigment	pigment%1:27:00::
ambulance	ambulance%1:06:00::
antibody	antibody%1:27:00::
singer	singer%1:18:00::
haircut	haircut%1:08:00::
relatedness	relatedness%1:24:00::
voyager	voyager%1:18:00::
popularity	popularity%1:07:00::
popularism	popularism%1:10:00::
spaniel	spaniel%1:05:00::
citrus	citrus%1:13:00::
neighbourhood	neighbourhood%1:15:00::
hopper	hopper%1:06:00::
enlightenment	enlightenment%1:09:00::
typewriter	typewriter%1:06:00::
handyman	handyman%1:18:00::
compounding	compounding%1:04:00::
speaking	speaking%1:10:01::
two-by-four	two-by-four%1:06:00::
mortgage	mortgage%1:21:00::
kidnapper	kidnapper%1:18:00::
researcher	researcher%1:18:00::
eye-beaming	eye-beaming%1:04:00::
thiocyanate	thiocyanate%1:27:00::
crowbait	crowbait%1:05:00::
slingshot	slingshot%1:06:00::
wand	wand%1:06:00::
boston	boston%1:15:00::
boiler	boiler%1:06:00::
steak	steak%1:13:00::
stub	stub%1:17:00::
dedication	dedication%1:07:00::
stead	stead%1:04:00::
cupboard	cupboard%1:06:00::
patrolman	patrolman%1:18:00::
entertainer	entertainer%1:18:00::
hater	hater%1:18:00::
goose	goose%1:05:00::
watt	watt%1:23:00::
citron	citron%1:13:00::
eagle	eagle%1:05:00::
sportsman	sportsman%1:18:00::
feelings	feelings%1:12:00::
loins	loins%1:08:00::
mortification	mortification%1:12:00::
wart	wart%1:25:00::
cunning	cunning%1:09:00::
switch-hitter	switch-hitter%1:18:00::
hatchway	hatchway%1:06:00::
bonn	bonn%1:15:00::
densitometry	densitometry%1:04:00::
brake	brake%1:06:00::
steed	steed%1:05:00::
hell-rooster	hell-rooster%1:18:00::
blacksmith	blacksmith%1:18:00::
manual	manual%1:10:00::
readjustment	readjustment%1:04:00::
sally	sally%1:10:00::
viand	viand%1:13:02::
anthropologist	anthropologist%1:18:00::
occlusion	occlusion%1:26:00::
unloading	unloading%1:04:00::
anaesthesia	anaesthesia%1:26:00::
warehouse	warehouse%1:06:00::
infirmity	infirmity%1:26:00::
schooling	schooling%1:04:00::
refrigeration	refrigeration%1:22:00::
incorporation	incorporation%1:04:01::
self-respect	self-respect%1:07:00::
goddess	goddess%1:18:00::
topsoil	topsoil%1:27:00::
myofibril	myofibril%1:08:00::
carabao	carabao%1:05:00::
conspirator	conspirator%1:18:00::
aviation	aviation%1:14:00::
frostbite	frostbite%1:26:00::
digging	digging%1:04:01::
hayfield	hayfield%1:15:00::
ham	ham%1:13:00::
carpentry	carpentry%1:04:00::
law-breaking	law-breaking%1:04:00::
outfielder	outfielder%1:18:00::
maxim	maxim%1:10:00::
friday	friday%1:28:00::
stabilization	stabilization%1:04:00::
riboflavin	riboflavin%1:27:00::
noisemaker	noisemaker%1:06:00::
horseback	horseback%1:05:00::
pittsburgh	pittsburgh%1:15:00::
hay	hay%1:13:00::
congressman	congressman%1:18:00::
orator	orator%1:18:00::
self-flagellation	self-flagellation%1:04:00::
philippines	philippines%1:15:00::
nigra	nigra%1:18:00::
controversy	controversy%1:10:00::
storyline	storyline%1:10:00::
three-dimensionality	three-dimensionality%1:07:00::
hardbake	hardbake%1:13:00::
biceps	biceps%1:08:00::
sightseeing	sightseeing%1:04:00::
ammunition	ammunition%1:06:00::
reappearance	reappearance%1:11:00::
slavic	slavic%1:10:00::
shirtsleeves	shirtsleeves%1:26:00::
contamination	contamination%1:26:00::
calcium	calcium%1:27:00::
manure	manure%1:27:00::
viyella	viyella%1:06:00::
hex	hex%1:10:00::
authenticity	authenticity%1:07:00::
lance	lance%1:06:00::
touchdown	touchdown%1:04:00::
hem	hem%1:06:00::
activism	activism%1:09:00::
canyon	canyon%1:17:00::
bugler	bugler%1:18:00::
warrior	warrior%1:18:00::
magpie	magpie%1:05:00::
personification	personification%1:18:00::
anemia	anemia%1:26:00::
aeration	aeration%1:22:00::
forties	forties%1:28:00::
sulfur	sulfur%1:27:00::
adulthood	adulthood%1:28:00::
steakhouse	steakhouse%1:06:00::
retailer	retailer%1:18:00::
pessimist	pessimist%1:18:00::
pessimism	pessimism%1:12:00::
hopscotch	hopscotch%1:04:00::
sovereignty	sovereignty%1:26:00::
primate	primate%1:18:00::
peninsula	peninsula%1:17:00::
cincinnati	cincinnati%1:15:00::
untruth	untruth%1:10:00::
thirties	thirties%1:28:00::
arsenic	arsenic%1:27:01::
creeper	creeper%1:20:00::
mermaid	mermaid%1:18:00::
subpart	subpart%1:24:00::
treachery	treachery%1:07:00::
abortion	abortion%1:04:00::
bricklaying	bricklaying%1:04:00::
giveaway	giveaway%1:21:00::
pinning	pinning%1:10:00::
submarine	submarine%1:06:00::
pitfall	pitfall%1:09:00::
demon	demon%1:18:00::
enrollee	enrollee%1:18:00::
standby	standby%1:06:00::
appraisal	appraisal%1:09:00::
contestant	contestant%1:18:00::
electrophoresis	electrophoresis%1:22:00::
anti-semite	anti-semite%1:18:00::
dresser	dresser%1:06:00::
gnp	gnp%1:21:00::
isocyanate	isocyanate%1:27:00::
housebreaking	housebreaking%1:04:00::
complicity	complicity%1:26:00::
idealist	idealist%1:18:00::
weed	weed%1:20:00::
optimism	optimism%1:12:00::
liberation	liberation%1:04:02::
apothecary	apothecary%1:18:00::
glossary	glossary%1:10:00::
ketch	ketch%1:06:00::
stumping	stumping%1:04:00::
re-introduction	re-introduction%1:10:00::
drunkenness	drunkenness%1:26:00::
quadriceps	quadriceps%1:08:00::
dividend	dividend%1:21:00::
dove	dove%1:05:00::
electrode	electrode%1:06:00::
absorbency	absorbency%1:07:00::
golfer	golfer%1:18:00::
gop	gop%1:14:00::
oratorio	oratorio%1:10:00::
sforzando	sforzando%1:10:01::
madman	madman%1:18:00::
histrionics	histrionics%1:10:00::
physicalness	physicalness%1:07:00::
receptionist	receptionist%1:18:00::
learner	learner%1:18:00::
geneticist	geneticist%1:18:00::
devisee	devisee%1:18:00::
rightfield	rightfield%1:06:00::
hackwork	hackwork%1:04:00::
housework	housework%1:04:00::
gaiety	gaiety%1:12:00::
referee	referee%1:18:00::
alcohol	alcohol%1:13:00::
alienation	alienation%1:12:00::
legacy	legacy%1:21:00::
trestle	trestle%1:06:01::
carpenter	carpenter%1:18:00::
nearness	nearness%1:07:00::
rationale	rationale%1:09:00::
artery	artery%1:08:00::
gut	gut%1:08:00::
gyration	gyration%1:11:00::
sentinel	sentinel%1:18:00::
bassinet	bassinet%1:06:00::
discomfort	discomfort%1:26:00::
primacy	primacy%1:26:00::
granary	granary%1:06:00::
july	july%1:28:00::
gym	gym%1:06:00::
appraiser	appraiser%1:18:01::
insinuation	insinuation%1:10:00::
knickknacks	knickknacks%1:06:01::
june	june%1:28:00::
tariff	tariff%1:21:00::
guatemala	guatemala%1:15:00::
trader	trader%1:18:00::
columbus	columbus%1:15:00::
detractor	detractor%1:18:00::
linebacker	linebacker%1:18:00::
grandmother	grandmother%1:18:00::
gambling	gambling%1:04:00::
commissioner	commissioner%1:18:00::
formative	formative%1:10:00::
river	river%1:17:00::
gabardine	gabardine%1:06:00::
college	college%1:14:00::
evensong	evensong%1:28:00::
deliverance	deliverance%1:04:00::
lore	lore%1:09:00::
sausage	sausage%1:13:00::
fm	fm%1:10:00::
showerhead	showerhead%1:06:00::
reconsideration	reconsideration%1:10:00::
juju	juju%1:09:00::
portfolio	portfolio%1:06:00::
lineman	lineman%1:18:00::
interconnectedness	interconnectedness%1:26:00::
gm	gm%1:23:00::
solidity	solidity%1:07:02::
matrimony	matrimony%1:26:00::
hemoglobin	hemoglobin%1:27:00::
taxpayer	taxpayer%1:18:00::
dublin	dublin%1:15:00::
saga	saga%1:10:00::
servant	servant%1:18:00::
poland	poland%1:15:00::
staple	staple%1:06:00::
imprimatur	imprimatur%1:10:00::
invocation	invocation%1:10:00::
bw	bw%1:04:00::
wallet	wallet%1:06:00::
installment	installment%1:21:00::
adroitness	adroitness%1:09:00::
twinge	twinge%1:12:00::
sprinter	sprinter%1:18:00::
fifties	fifties%1:28:01::
cr	cr%1:27:00::
cm	cm%1:23:00::
aeschylus	aeschylus%1:18:00::
objectification	objectification%1:04:00::
edifice	edifice%1:06:00::
cc	cc%1:23:00::
galaxy	galaxy%1:14:01::
smuggler	smuggler%1:18:00::
choreography	choreography%1:04:00::
traineeship	traineeship%1:21:00::
chisel	chisel%1:06:00::
cryostat	cryostat%1:06:00::
positivism	positivism%1:09:00::
baton	baton%1:06:00::
termination	termination%1:28:00::
prediction	prediction%1:09:00::
crag	crag%1:17:00::
ax	ax%1:06:00::
crab	crab%1:05:00::
biomedicine	biomedicine%1:09:01::
sinfulness	sinfulness%1:07:00::
gangster	gangster%1:18:00::
ad	ad%1:10:00::
flyway	flyway%1:15:00::
applicator	applicator%1:06:00::
makeup	makeup%1:06:00::
celebrant	celebrant%1:18:01::
asynchrony	asynchrony%1:24:00::
os	os%1:08:01::
athabascan	athabascan%1:10:00::
grower	grower%1:18:00::
cliff	cliff%1:17:00::
ox	ox%1:05:02::
pa	pa%1:18:00::
balletomane	balletomane%1:18:00::
ph	ph%1:07:00::
sepia	sepia%1:07:00::
soft-shoe	soft-shoe%1:04:00::
lp	lp%1:06:00::
fairness	fairness%1:07:00::
rubric	rubric%1:10:02::
detector	detector%1:06:00::
mc	mc%1:28:00::
mg	mg%1:23:00::
bestowal	bestowal%1:04:00::
conservatism	conservatism%1:09:00::
ml	ml%1:23:00::
bulgaria	bulgaria%1:15:00::
mm	mm%1:23:00::
mv	mv%1:23:00::
inning	inning%1:28:00::
goner	goner%1:18:00::
southernism	southernism%1:10:00::
steprelationship	steprelationship%1:24:00::
treetop	treetop%1:20:00::
cousin	cousin%1:18:00::
kc	kc%1:28:00::
salamander	salamander%1:05:00::
hometown	hometown%1:15:00::
lots	lots%1:23:00::
debility	debility%1:26:00::
km	km%1:23:00::
ink	ink%1:27:01::
caesar	caesar%1:18:00::
obscenity	obscenity%1:07:00::
hr	hr%1:28:00::
hp	hp%1:23:00::
pheasant	pheasant%1:05:00::
footprint	footprint%1:10:00::
hi	hi%1:10:00::
microscope	microscope%1:06:00::
pushup	pushup%1:04:00::
nausea	nausea%1:26:00::
shrieking	shrieking%1:10:00::
major-general	major-general%1:18:00::
doll	doll%1:06:00::
ilk	ilk%1:09:00::
crib	crib%1:06:00::
mimesis	mimesis%1:09:00::
bloodstream	bloodstream%1:08:00::
self-consciousness	self-consciousness%1:12:00::
clangor	clangor%1:11:00::
parenchyma	parenchyma%1:08:01::
microscopy	microscopy%1:04:00::
spontaneity	spontaneity%1:07:00::
supremacy	supremacy%1:26:00::
winner	winner%1:18:00::
bootlegging	bootlegging%1:04:00::
sputtering	sputtering%1:11:00::
aluminum	aluminum%1:27:00::
virginia	virginia%1:15:00::
pronouncement	pronouncement%1:10:00::
expiration	expiration%1:28:00::
acrobatics	acrobatics%1:04:00::
rightness	rightness%1:07:00::
festivity	festivity%1:04:00::
trinket	trinket%1:06:00::
abnormality	abnormality%1:26:00::
blandness	blandness%1:07:02::
pimple	pimple%1:26:00::
excretion	excretion%1:22:00::
punk	punk%1:18:00::
hoe	hoe%1:06:00::
warsaw	warsaw%1:15:00::
havoc	havoc%1:04:00::
epidermis	epidermis%1:08:00::
matrix	matrix%1:14:00::
yale	yale%1:06:00::
us	us%1:15:00::
philadelphia	philadelphia%1:15:00::
un	un%1:14:00::
swathing	swathing%1:06:00::
isle	isle%1:17:00::
orphan	orphan%1:18:00::
braggadocio	braggadocio%1:10:00::
pistol	pistol%1:06:00::
deportee	deportee%1:18:00::
hue	hue%1:07:00::
baltimore	baltimore%1:15:00::
hub	hub%1:06:00::
messenger	messenger%1:18:00::
froth	froth%1:17:00::
exemplar	exemplar%1:09:00::
wares	wares%1:06:00::
mexico	mexico%1:15:00::
kamikaze	kamikaze%1:06:00::
counting	counting%1:04:00::
demarcation	demarcation%1:15:00::
nodule	nodule%1:08:00::
dispensation	dispensation%1:04:01::
weeds	weeds%1:06:00::
aversion	aversion%1:12:00::
puke	puke%1:18:00::
perspiration	perspiration%1:08:00::
intransigence	intransigence%1:07:00::
ladder	ladder%1:06:00::
pathos	pathos%1:07:00::
analyticity	analyticity%1:07:00::
isomer	isomer%1:27:00::
dilemma	dilemma%1:09:00::
sandalwood	sandalwood%1:20:00::
silicate	silicate%1:27:00::
guardian	guardian%1:18:00::
clangoring	clangoring%1:11:00::
bibliography	bibliography%1:10:00::
smoothness	smoothness%1:07:00::
monotony	monotony%1:07:00::
yaws	yaws%1:26:00::
vengeance	vengeance%1:04:00::
processor	processor%1:14:00::
rapidity	rapidity%1:07:00::
delta	delta%1:17:00::
hesitancy	hesitancy%1:12:00::
interaction	interaction%1:04:00::
barkeep	barkeep%1:18:00::
commercialism	commercialism%1:04:00::
protozoan	protozoan%1:05:00::
viewpoint	viewpoint%1:09:00::
objectivity	objectivity%1:07:00::
nightfall	nightfall%1:28:00::
doorhandle	doorhandle%1:06:00::
wretchedness	wretchedness%1:26:00::
fingertip	fingertip%1:08:00::
hun	hun%1:18:02::
mayor	mayor%1:18:00::
haven	haven%1:06:00::
permanence	permanence%1:07:00::
lunchroom	lunchroom%1:06:00::
blackboard	blackboard%1:06:00::
protagonist	protagonist%1:18:00::
drugstore	drugstore%1:06:00::
somersaulting	somersaulting%1:04:00::
milieu	milieu%1:26:00::
butler	butler%1:18:00::
tyrosine	tyrosine%1:27:00::
fisher	fisher%1:18:00::
unification	unification%1:11:00::
self-destruction	self-destruction%1:04:00::
nectar	nectar%1:27:00::
sandal	sandal%1:06:00::
naturopath	naturopath%1:18:00::
nestling	nestling%1:05:00::
lobe	lobe%1:08:00::
cholelithiasis	cholelithiasis%1:26:00::
perpetuation	perpetuation%1:04:00::
ossification	ossification%1:22:00::
elegance	elegance%1:07:00::
man-of-war	man-of-war%1:06:00::
strategy	strategy%1:09:00::
bloodhound	bloodhound%1:05:00::
chambermaid	chambermaid%1:18:00::
crone	crone%1:18:00::
smallness	smallness%1:07:00::
lisbon	lisbon%1:15:00::
enzyme	enzyme%1:27:00::
doubleheader	doubleheader%1:04:00::
teaspoonful	teaspoonful%1:23:01::
rosebud	rosebud%1:20:00::
inculcation	inculcation%1:04:00::
fee	fee%1:21:00::
crony	crony%1:18:00::
feb	feb%1:28:00::
grinning	grinning%1:10:00::
autofluorescence	autofluorescence%1:19:00::
token	token%1:10:00::
holocaust	holocaust%1:04:00::
ciliate	ciliate%1:05:00::
brazil	brazil%1:15:00::
landowner	landowner%1:18:00::
dickens	dickens%1:10:00::
guest	guest%1:18:00::
rehearsal	rehearsal%1:04:01::
systematization	systematization%1:04:00::
mutineer	mutineer%1:18:00::
lapel	lapel%1:06:00::
passivity	passivity%1:07:00::
drowsiness	drowsiness%1:26:00::
confrontation	confrontation%1:10:01::
creativity	creativity%1:09:00::
glee	glee%1:12:00::
stucco	stucco%1:27:00::
sandpaper	sandpaper%1:27:00::
i.q.	i.q.%1:24:00::
alabaster	alabaster%1:27:00::
larkspur	larkspur%1:20:00::
flautist	flautist%1:18:00::
surveying	surveying%1:04:00::
seepage	seepage%1:11:00::
magnetism	magnetism%1:19:00::
snapshot	snapshot%1:06:00::
thawing	thawing%1:22:00::
sending	sending%1:04:00::
clergyman	clergyman%1:18:00::
precipitin	precipitin%1:27:00::
reflex	reflex%1:04:00::
proverb	proverb%1:10:00::
barbital	barbital%1:06:00::
epiphysis	epiphysis%1:08:00::
january	january%1:28:00::
workman	workman%1:18:00::
mutton	mutton%1:13:00::
aspiration	aspiration%1:07:00::
gegenschein	gegenschein%1:19:00::
send-off	send-off%1:10:00::
corticotropin	corticotropin%1:08:00::
juror	juror%1:18:00::
trouser	trouser%1:06:00::
heyday	heyday%1:28:00::
selectman	selectman%1:18:00::
distributor	distributor%1:18:00::
infidelity	infidelity%1:07:00::
typewriting	typewriting%1:10:00::
lexicon	lexicon%1:09:00::
interface	interface%1:06:00::
cartoonist	cartoonist%1:18:00::
supernaturalism	supernaturalism%1:09:00::
things	things%1:21:00::
comprehension	comprehension%1:09:00::
clocking	clocking%1:28:00::
inequality	inequality%1:07:00::
siberia	siberia%1:15:00::
framing	framing%1:04:00::
topography	topography%1:07:00::
bleb	bleb%1:08:00::
california	california%1:15:00::
austerity	austerity%1:07:01::
backlog	backlog%1:14:00::
headland	headland%1:17:00::
commoner	commoner%1:18:00::
pastime	pastime%1:04:00::
pidgin	pidgin%1:10:00::
clothesbrush	clothesbrush%1:06:00::
glasses	glasses%1:06:00::
likelihood	likelihood%1:07:00::
threshing	threshing%1:04:00::
furnace	furnace%1:06:00::
mekong	mekong%1:17:00::
eyepiece	eyepiece%1:06:00::
cancellation	cancellation%1:04:00::
tennessee	tennessee%1:15:00::
beryllium	beryllium%1:27:00::
corsage	corsage%1:06:00::
rhetorician	rhetorician%1:18:00::
nazism	nazism%1:14:00::
welter	welter%1:26:00::
fishmonger	fishmonger%1:18:00::
nostalgia	nostalgia%1:12:00::
housewife	housewife%1:18:00::
exporter	exporter%1:18:00::
woodpecker	woodpecker%1:05:00::
cloak	cloak%1:06:01::
revetment	revetment%1:06:01::
era	era%1:28:00::
basileus	basileus%1:18:00::
pilgrim	pilgrim%1:18:00::
abasement	abasement%1:26:00::
sternum	sternum%1:08:00::
dissolution	dissolution%1:22:00::
rotor	rotor%1:06:01::
whereabouts	whereabouts%1:15:00::
elm	elm%1:20:00::
sewage	sewage%1:27:00::
singing	singing%1:04:00::
ell	ell%1:06:00::
steamship	steamship%1:06:00::
footnote	footnote%1:10:00::
propaganda	propaganda%1:10:00::
highschool	highschool%1:14:00::
postscript	postscript%1:10:00::
perfectionism	perfectionism%1:07:00::
tempest	tempest%1:26:00::
boulder	boulder%1:17:00::
midair	midair%1:15:00::
perfectionist	perfectionist%1:18:00::
permian	permian%1:28:00::
vaporization	vaporization%1:04:00::
robbery	robbery%1:04:00::
adenoma	adenoma%1:26:00::
cohesiveness	cohesiveness%1:26:00::
refrigerator	refrigerator%1:06:00::
possum	possum%1:05:01::
hissing	hissing%1:11:00::
dowry	dowry%1:21:00::
missionary	missionary%1:18:00::
buffoon	buffoon%1:18:01::
transaction	transaction%1:04:00::
noradrenaline	noradrenaline%1:08:00::
thermostat	thermostat%1:06:00::
bidder	bidder%1:18:00::
achievement	achievement%1:04:00::
carbine	carbine%1:06:00::
roadside	roadside%1:06:00::
obstruction	obstruction%1:06:00::
blot	blot%1:07:00::
coloratura	coloratura%1:18:00::
scotchman	scotchman%1:18:00::
leader	leader%1:18:00::
blob	blob%1:25:00::
bloc	bloc%1:14:00::
